Column,Memo
seas_id,id
season,ปี
player_id,ID ผู้เล่น
player,ชื่อ ผู้เล่น
birth_year,ปีเกิด
pos,ตำแหน่งใน Team
age,อายุ
experience,ประสบการณ์
lg,Leage
tm,Team
g,Game
gs,Games Started จำนวนเกมที่ได้เป็นตัวจริง
mp,Minutes Played เวลาที่ได้ลงเล่น
fg,Field Goals การยิงประตูทุกรูปแบบในระหว่างการเล่น ทั้งการยิง 2 คะแนนและ 3 คะแนน
fga,Field Goal Attempts จำนวนครั้งทั้งหมดที่ผู้เล่นหรือทีมพยายามยิงประตูในระหว่างการเล่นปกติ (ไม่รวมการยิงฟรีโทรว์)
fg_percent,% ที่ยิงประตูลง
x3p,ชู๊ตลง 3 แต้ม --> ครั้ง
x3pa,จำนวนครั้งที่ชู๊ต 3 แต้มทั้งหมด 
x3p_percent,% ที่ชู๊ต 3 แต้มลง
x2p,ชู๊ตลง 2 แต้ม --> ครั้ง
x2pa,จำนวนครั้งที่ชู๊ต 2 แต้มทั้งหมด
x2p_percent,% ที่ชู๊ต 2 แต้มลง
e_fg_percent,"Effective Field Goal Percentage"" (เปอร์เซ็นต์การยิงประตูที่มีประสิทธิภาพ) วัดประสิทธิภาพการยิงประตูข โดยคำนึงถึงความแตกต่างของคะแนนระหว่างการยิงสองคะแนนและสามคะแนน --> (FG + 0.5 * 3P) / FGA"
ft,Free Throws การยิงลูกโทษ ได้ 1 แต้ม _ ยิงลง --> ครั้ง
fta,Free Throws Attempts จำนวนการชู๊ตลูกโทษ
ft_percent,% การยิงลูกโทษ
orb,Offensive Rebounds ทำโดยทีมที่กำลังรุก (ทีมที่ยิงลูก)
drb,Defensive Rebounds: ทำโดยทีมที่กำลังป้องกัน (ทีมตรงข้ามกับทีมที่ยิงลูก)
trb,Total Rebounds
ast,Assists การส่งบอลให้เพื่อนร่วมทีมในลักษณะที่ทำให้เพื่อนร่วมทีมสามารถทำคะแนนได้โดยตรง
stl,Steals
blk,Blocks
tov,Turnovers การที่ทีมครอบครองบอลสูญเสียการครอบครองไปให้กับทีมตรงข้าม โดยที่ยังไม่ได้ทำการยิงประตู
pf,Personal Fouls
pts,Points
